image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099590088.jpg,Sapiens,Yuval Noah Harari,Paperback,4.5,12.98,$,,9780099590088,Science-Geography,dataset/Science-Geography/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784701994.jpg,When Breath Becomes Air,Paul Kalanithi,Paperback,4.5,9.05,$,11.5,9781784701994,Science-Geography,dataset/Science-Geography/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784703936.jpg,Homo Deus,Yuval Noah Harari,Paperback,4.5,12.9,$,,9781784703936,Science-Geography,dataset/Science-Geography/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473695986.jpg,Brief Answers to the Big Questions,Stephen Hawking,Hardback,4.5,11.64,$,18.0,9781473695986,Science-Geography,dataset/Science-Geography/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3305/9780330523622.jpg,The Man Who Mistook His Wife for a Hat,Oliver Sacks,Paperback,4.0,5.92,$,14.8,9780330523622,Science-Geography,dataset/Science-Geography/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8575/9780857501004.jpg,A Brief History Of Time,Stephen Hawking,Paperback,4.0,9.62,$,12.4,9780857501004,Science-Geography,dataset/Science-Geography/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7807/9781780723044.jpg,The Clever Guts Diet,Michael Mosley,Paperback,4.0,8.92,$,11.3,9781780723044,Science-Geography,dataset/Science-Geography/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8466/9781846685828.jpg,Being Mortal,Atul Gawande,Paperback,4.5,9.03,$,11.5,9781846685828,Science-Geography,dataset/Science-Geography/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8479/9781847946249.jpg,The Power of Habit,Charles Duhigg,Paperback,4.0,10.41,$,12.4,9781847946249,Science-Geography,dataset/Science-Geography/0000009.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9252/9781925228601.jpg,Gut,Giulia Enders,Paperback,4.0,10.49,$,11.4,9781925228601,Science-Geography,dataset/Science-Geography/0000010.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141038872.jpg,The Brain That Changes Itself,Norman Doidge,Paperback,4.0,11.03,$,13.9,9780141038872,Science-Geography,dataset/Science-Geography/0000011.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3936/9780393609394.jpg,Astrophysics for People in a Hurry,Neil Degrasse Tyson,Hardback,4.0,13.37,$,17.0,9780393609394,Science-Geography,dataset/Science-Geography/0000012.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7839/9781783962433.jpg,Prisoners of Geography,Tim Marshall,Paperback,4.0,10.86,$,12.4,9781783962433,Science-Geography,dataset/Science-Geography/0000013.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8485/9781848549562.jpg,What If?,Randall Munroe,Paperback,4.0,10.62,$,12.4,9781848549562,Science-Geography,dataset/Science-Geography/0000014.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0993/9780099302780.jpg,"Guns, Germs And Steel",Jared Diamond,Paperback,4.0,13.17,$,13.9,9780099302780,Science-Geography,dataset/Science-Geography/0000015.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4504/9781450400244.jpg,Yoga Anatomy,Leslie Kaminoff,Paperback,4.5,17.73,$,21.1,9781450400244,Science-Geography,dataset/Science-Geography/0000016.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8184/9780818402531.jpg,Where Did I Come From?,Peter Mayle,Paperback,4.0,9.51,$,,9780818402531,Science-Geography,dataset/Science-Geography/0000017.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405930994.jpg,Lion,Saroo Brierley,Paperback,4.0,8.85,$,10.8,9781405930994,Science-Geography,dataset/Science-Geography/0000018.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5531/9780553176988.jpg,A Brief History Of Time,Stephen Hawking,Paperback,4.0,9.12,$,10.5,9780553176988,Science-Geography,dataset/Science-Geography/0000019.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3303/9780330351690.jpg,Into the Wild,Jon Krakauer,Paperback,4.0,7.07,$,11.4,9780330351690,Science-Geography,dataset/Science-Geography/0000020.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5521/9780552151740.jpg,A Short History of Nearly Everything,Bill Bryson,Paperback,4.0,10.92,$,12.9,9780552151740,Science-Geography,dataset/Science-Geography/0000021.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405937184.jpg,The Salt Path,Raynor Winn,Paperback,4.0,9.53,$,12.9,9781405937184,Science-Geography,dataset/Science-Geography/0000022.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3305/9780330533447.jpg,The Immortal Life of Henrietta Lacks,Rebecca Skloot,Paperback,4.0,8.48,$,12.9,9780330533447,Science-Geography,dataset/Science-Geography/0000023.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4862/9780486284958.jpg,"Walden: Or, Life in the Woods",Henry David Thoreau,Paperback,4.0,5.14,$,,9780486284958,Science-Geography,dataset/Science-Geography/0000024.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6074/9781607432388.jpg,Key Muscles of Yoga: Your Guide to Functional Anatomy in Yoga,Ray Long,Paperback,4.5,25.04,$,36.0,9781607432388,Science-Geography,dataset/Science-Geography/0000025.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0072/9780007284870.jpg,Bad Science,Ben Goldacre,Paperback,4.0,9.68,$,12.9,9780007284870,Science-Geography,dataset/Science-Geography/0000026.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473620919.jpg,Thing Explainer,Randall Munroe,Hardback,4.0,16.86,$,21.5,9781473620919,Science-Geography,dataset/Science-Geography/0000027.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141980805.jpg,The Brain's Way of Healing,Norman Doidge,Paperback,4.0,10.26,$,12.4,9780141980805,Science-Geography,dataset/Science-Geography/0000028.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3218/9780321832016.jpg,The Anatomy Coloring Book,Wynn Kapit,Paperback,4.0,24.25,$,26.0,9780321832016,Science-Geography,dataset/Science-Geography/0000029.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141985138.jpg,How to Change Your Mind,Michael Pollan,Paperback,4.5,10.28,$,12.4,9780141985138,Science-Geography,dataset/Science-Geography/0000030.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141034591.jpg,The Black Swan,Nassim Nicholas Taleb,Paperback,4.0,10.72,$,11.4,9780141034591,Science-Geography,dataset/Science-Geography/0000031.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3304/9780330492270.jpg,The Psychopath Test,Jon Ronson,Paperback,4.0,8.23,$,12.9,9780330492270,Science-Geography,dataset/Science-Geography/0000032.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141981727.jpg,Seven Brief Lessons on Physics,Carlo Rovelli,Paperback,4.0,6.69,$,8.8,9780141981727,Science-Geography,dataset/Science-Geography/0000033.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6077/9781607749769.jpg,Women In Science,Rachel Ignotofsky,Hardback,4.5,16.43,$,17.0,9781607749769,Science-Geography,dataset/Science-Geography/0000034.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1431/9780143113102.jpg,The Brain That Changes Itself,Norman Doidge,Paperback,4.0,15.22,$,18.0,9780143113102,Science-Geography,dataset/Science-Geography/0000035.jpg
